time,{ur5e}.ur5e.actual_q0,{ur5e}.ur5e.actual_q1,{ur5e}.ur5e.actual_q2,{ur5e}.ur5e.actual_q3,{ur5e}.ur5e.actual_q4,{ur5e}.ur5e.actual_q5,{ur5e}.ur5e.actual_X,{ur5e}.ur5e.actual_Y,{ur5e}.ur5e.actual_Z,{ur5e}.ur5e.actual_x,{ur5e}.ur5e.actual_y,{ur5e}.ur5e.actual_z,{kuka}.kuka.actual_q0,{kuka}.kuka.actual_q1,{kuka}.kuka.actual_q2,{kuka}.kuka.actual_q3,{kuka}.kuka.actual_q4,{kuka}.kuka.actual_q5,{kuka}.kuka.actual_q6,{kuka}.kuka.actual_X,{kuka}.kuka.actual_Y,{kuka}.kuka.actual_Z,{kuka}.kuka.actual_x,{kuka}.kuka.actual_y,{kuka}.kuka.actual_z,{rabbitmq}.rabbitmq.target_X_ur5e,{rabbitmq}.rabbitmq.target_Y_ur5e,{rabbitmq}.rabbitmq.target_Z_ur5e,{rabbitmq}.rabbitmq.target_X_kuka,{rabbitmq}.rabbitmq.target_Y_kuka,{rabbitmq}.rabbitmq.target_Z_kuka,{rabbitmq}.rabbitmq.motion_time_ur5e,{rabbitmq}.rabbitmq.motion_time_kuka
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5,22,0,7,14,1,2.0,2.0
0.5,-0.17380070712006965,-0.17824005413303406,0.21879754287734038,-0.23384827637979122,-0.10372020789960645,-0.030488274017137544,14,39,3,-0.8470166093801598,0.024691214851645413,0.1480197760294227,0.06910224198256268,0.06323068291282337,0.04415287931975997,-0.11510428811060258,-0.03263255616213985,0.09501682098800097,0.11739907760708403,9,3,21,0.1390909237598114,0.012645743219518418,1.2878840634848971,5,22,0,7,14,1,2.0,2.0
1.0,-0.9815277260504347,-1.0065986377342029,1.2356443094184595,-1.320642307843437,-0.5857528515971336,-0.1721804632622692,3,33,-2,-0.5534522944671345,0.5490448714373857,-0.07138569405649905,0.39025023293647715,0.3570910006319123,0.24935039652838606,-0.6500436738143034,-0.18429015149466899,0.5366010632883346,0.6630033421238793,1,9,14,0.551851397972207,0.3153301004317747,0.9369331380494313,5,22,0,7,14,1,2.0,2.0
1.5,-1.8345093996916702,-1.8813678041177808,2.309462117208912,-2.468326327487559,-1.0947924176070856,-0.32181126412894484,3,23,-1,-0.07998499877607732,0.537918422624884,-0.0139495168041249,0.7293912352681154,0.6674154787665022,0.4660445488267996,-1.2149541965778043,-0.34444469189676247,1.0029260186547309,1.2391762666220916,5,14,3,0.35888633303924466,0.5675822364105899,0.4036927733398934,5,22,0,7,14,1,2.0,2.0
2.0,-2.0621540264190727,-2.1148270993262592,2.5960437186449496,-2.774621419546925,-1.2306454207544348,-0.3617448862251962,5,22,0,-0.02200110587395753,0.4610004946293263,0.01999857272763174,0.819901534925755,0.7502351947959909,0.5238761071572444,-1.3657180981513442,-0.3871869004285111,1.1273793025628045,1.3929458895589129,7,14,1,0.2499999999907986,0.5549999999755817,0.2999999999964373,5,22,0,7,14,1,2.0,2.0
2.5,-2.0621540264190727,-2.1148270993262592,2.5960437186449496,-2.774621419546925,-1.2306454207544348,-0.3617448862251962,5,22,0,-0.02200110587395753,0.4610004946293263,0.01999857272763174,0.819901534925755,0.7502351947959909,0.5238761071572444,-1.3657180981513442,-0.3871869004285111,1.1273793025628045,1.3929458895589129,7,14,1,0.2499999999907986,0.5549999999755817,0.2999999999964373,5,22,0,7,14,1,2.0,2.0
3.0,-2.062154026419072,-2.114827099326259,2.596043718644948,-2.7746214195469223,-1.2306454207544366,-0.3617448862251958,5,22,0,-0.02200110587395744,0.46100049462932674,0.019998572727631756,0.8199015349257548,0.7502351947959905,0.5238761071572441,-1.3657180981513428,-0.38718690042851095,1.127379302562805,1.3929458895589126,7,14,1,0.24999999999079928,0.5549999999755818,0.29999999999643795,5,22,0,7,14,1,2.0,2.0
3.5,-2.062154026419072,-2.114827099326259,2.596043718644948,-2.7746214195469223,-1.2306454207544366,-0.3617448862251958,5,22,0,-0.02200110587395744,0.46100049462932674,0.019998572727631756,0.8199015349257548,0.7502351947959905,0.5238761071572441,-1.3657180981513428,-0.38718690042851095,1.127379302562805,1.3929458895589126,7,14,1,0.24999999999079928,0.5549999999755818,0.29999999999643795,5,22,0,7,14,1,2.0,2.0
4.0,-2.062154026419072,-2.114827099326259,2.596043718644948,-2.7746214195469223,-1.2306454207544366,-0.3617448862251958,5,22,0,-0.02200110587395744,0.46100049462932674,0.019998572727631756,0.8199015349257548,0.7502351947959905,0.5238761071572441,-1.3657180981513428,-0.38718690042851095,1.127379302562805,1.3929458895589126,7,14,1,0.24999999999079928,0.5549999999755818,0.29999999999643795,6,16,1,8,11,2,2.0,2.0
4.5,-3.0118505725968374,-1.9564125750146029,2.372551229120873,-2.115600734548349,-0.7937681837492914,-1.3883273006695318,6,16,1,0.2780003903519185,0.41100282982427666,0.06999385053260385,0.603345367014867,0.3362451080034893,0.6082412843611197,-1.8452735330682608,-0.22200072360028883,1.0280375901714933,1.3009043017977724,8,11,2,0.19999999999948748,0.40499999999423564,0.3500000000009158,6,16,1,8,11,2,2.0,2.0
