time,{ur5e}.ur5e.actual_q0,{ur5e}.ur5e.actual_q1,{ur5e}.ur5e.actual_q2,{ur5e}.ur5e.actual_q3,{ur5e}.ur5e.actual_q4,{ur5e}.ur5e.actual_q5,{ur5e}.ur5e.actual_X,{ur5e}.ur5e.actual_Y,{ur5e}.ur5e.actual_Z,{ur5e}.ur5e.actual_x,{ur5e}.ur5e.actual_y,{ur5e}.ur5e.actual_z,{kuka}.kuka.actual_q0,{kuka}.kuka.actual_q1,{kuka}.kuka.actual_q2,{kuka}.kuka.actual_q3,{kuka}.kuka.actual_q4,{kuka}.kuka.actual_q5,{kuka}.kuka.actual_q6,{kuka}.kuka.actual_X,{kuka}.kuka.actual_Y,{kuka}.kuka.actual_Z,{kuka}.kuka.actual_x,{kuka}.kuka.actual_y,{kuka}.kuka.actual_z,{rabbitmq}.rabbitmq.target_X_ur5e,{rabbitmq}.rabbitmq.target_Y_ur5e,{rabbitmq}.rabbitmq.target_Z_ur5e,{rabbitmq}.rabbitmq.target_X_kuka,{rabbitmq}.rabbitmq.target_Y_kuka,{rabbitmq}.rabbitmq.target_Z_kuka,{rabbitmq}.rabbitmq.motion_time_ur5e,{rabbitmq}.rabbitmq.motion_time_kuka
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,21,4,4,4,2,2.0,2.0
0.5,-0.1830045543380319,-0.17435522427172018,0.14601628776627237,-0.16218765131358223,-0.09774308285930208,-0.038014347690199214,13,39,3,-0.8485417915805868,0.048277705067845886,0.16046384801098454,-0.024455482260119593,-0.0294128717823116,0.15077968993753646,-0.1614406229092275,0.031226254404487192,0.09887709551809977,0.11488079976583239,12,1,20,0.07683681802288435,0.014497296295567352,1.2930363490674885,0,21,4,4,4,2,2.0,2.0
1.0,-1.0335058300550468,-0.984659324120053,0.8246170989312702,-0.9159437796608277,-0.5519974426212884,-0.2146834547679652,1,32,0,-0.5380758735310701,0.6807959575141943,0.006162217052309233,-0.13811068027277373,-0.16610720195264148,0.8515180901809467,-0.9117249873257954,0.17634815753387367,0.558401702331999,0.6487815385187922,5,-2,15,0.2372610021683136,0.33820032026339986,1.0430135449067577,0,21,4,4,4,2,2.0,2.0
1.5,-1.9316582808122345,-1.8403624652162547,1.5412379894994006,-1.7119307267439974,-1.0317023862069512,-0.4012508310028896,-1,22,3,-0.03547858336409566,0.7645437885918147,0.15878603211594078,-0.2581336567818924,-0.3104601278710543,1.5915168761765346,-1.704045657388792,0.32960082942942287,1.0436721699690878,1.212595221887792,3,3,4,0.00602325633502559,0.4723155549278505,0.5191174686847468,0,21,4,4,4,2,2.0,2.0
2.0,-2.1713581310143155,-2.0687333999782638,1.7324905101333368,-1.9243645422034916,-1.159726535138173,-0.45104212433889934,0,21,4,0.027999334757471152,0.7110001263425946,0.21999937994939808,-0.29016551224895615,-0.34898518527050193,1.7890085135965776,-1.915501013064766,0.37050106019254336,1.1731816516857378,1.3630663978351443,4,4,2,-0.055000000000211186,0.3999999999987121,0.40000000000053243,0,21,4,4,4,2,2.0,2.0
2.5,-2.1713581310143155,-2.0687333999782638,1.7324905101333368,-1.9243645422034916,-1.159726535138173,-0.45104212433889934,0,21,4,0.027999334757471152,0.7110001263425946,0.21999937994939808,-0.29016551224895615,-0.34898518527050193,1.7890085135965776,-1.915501013064766,0.37050106019254336,1.1731816516857378,1.3630663978351443,4,4,2,-0.055000000000211186,0.3999999999987121,0.40000000000053243,0,21,4,4,4,2,2.0,2.0
3.0,-2.171358131014313,-2.0687333999782638,1.7324905101333394,-1.9243645422034927,-1.1597265351381734,-0.45104212433889806,0,21,4,0.027999334757470472,0.7110001263425938,0.21999937994939683,-0.2901655122489562,-0.3489851852705021,1.7890085135965788,-1.9155010130647694,0.37050106019254353,1.1731816516857387,1.3630663978351456,4,4,2,-0.05500000000021128,0.39999999999871083,0.4000000000005312,0,21,4,4,4,2,2.0,2.0
3.5,-2.171358131014313,-2.0687333999782638,1.7324905101333394,-1.9243645422034927,-1.1597265351381734,-0.45104212433889806,0,21,4,0.027999334757470472,0.7110001263425938,0.21999937994939683,-0.2901655122489562,-0.3489851852705021,1.7890085135965788,-1.9155010130647694,0.37050106019254353,1.1731816516857387,1.3630663978351456,4,4,2,-0.05500000000021128,0.39999999999871083,0.4000000000005312,0,21,4,4,4,2,2.0,2.0
4.0,-2.171358131014313,-2.0687333999782638,1.7324905101333394,-1.9243645422034927,-1.1597265351381734,-0.45104212433889806,0,21,4,0.027999334757470472,0.7110001263425938,0.21999937994939683,-0.2901655122489562,-0.3489851852705021,1.7890085135965788,-1.9155010130647694,0.37050106019254353,1.1731816516857387,1.3630663978351456,4,4,2,-0.05500000000021128,0.39999999999871083,0.4000000000005312,0,21,4,4,4,2,2.0,2.0
4.5,-2.171358131014313,-2.0687333999782638,1.7324905101333394,-1.9243645422034927,-1.1597265351381734,-0.45104212433889806,0,21,4,0.027999334757470472,0.7110001263425938,0.21999937994939683,-0.2901655122489562,-0.3489851852705021,1.7890085135965788,-1.9155010130647694,0.37050106019254353,1.1731816516857387,1.3630663978351456,4,4,2,-0.05500000000021128,0.39999999999871083,0.4000000000005312,0,21,4,4,4,2,2.0,2.0
5.0,-2.171358131014313,-2.0687333999782638,1.7324905101333394,-1.9243645422034927,-1.1597265351381734,-0.45104212433889806,0,21,4,0.027999334757470472,0.7110001263425938,0.21999937994939683,-0.2901655122489562,-0.3489851852705021,1.7890085135965788,-1.9155010130647694,0.37050106019254353,1.1731816516857387,1.3630663978351456,4,4,2,-0.05500000000021128,0.39999999999871083,0.4000000000005312,3,18,2,8,7,4,2.0,2.0
5.5,-2.2131039316715744,-2.0711722026705437,1.767429616800508,-1.9348733439551944,-1.1370544979866641,-0.49242759406077186,0,21,4,0.042217038527318666,0.7016670076616628,0.20835196436234982,-0.26123531336621414,-0.44178913224405514,1.690441925753731,-1.9231352172526435,0.415799181802542,1.2699576616645467,1.320403984140526,4,4,2,-0.04607701259597549,0.3866077451562908,0.397245179433877,3,18,2,8,7,4,2.0,2.0
